GMMVAE(
  (fc1): Linear(in_features=12567, out_features=1024, bias=True)
  (mus): ModuleList(
    (0): Linear(in_features=1024, out_features=20, bias=True)
    (1): Linear(in_features=1024, out_features=20, bias=True)
    (2): Linear(in_features=1024, out_features=20, bias=True)
    (3): Linear(in_features=1024, out_features=20, bias=True)
    (4): Linear(in_features=1024, out_features=20, bias=True)
    (5): Linear(in_features=1024, out_features=20, bias=True)
    (6): Linear(in_features=1024, out_features=20, bias=True)
  )
  (log_vars): ModuleList(
    (0): Linear(in_features=1024, out_features=20, bias=True)
    (1): Linear(in_features=1024, out_features=20, bias=True)
    (2): Linear(in_features=1024, out_features=20, bias=True)
    (3): Linear(in_features=1024, out_features=20, bias=True)
    (4): Linear(in_features=1024, out_features=20, bias=True)
    (5): Linear(in_features=1024, out_features=20, bias=True)
    (6): Linear(in_features=1024, out_features=20, bias=True)
  )
  (wght_comps): Linear(in_features=7, out_features=1, bias=True)
  (fc4): Linear(in_features=20, out_features=20, bias=True)
  (fc5): Linear(in_features=20, out_features=1024, bias=True)
  (fc6): Linear(in_features=1024, out_features=12567, bias=True)
)
==============================Loss==============================
Epoch[1/70], Step [100/105], Reconst Loss: 108.3491, KL Div: 17.5307
Epoch[17/70], Step [100/105], Reconst Loss: 98.3890, KL Div: 0.7526
Epoch[18/70], Step [100/105], Reconst Loss: 96.1465, KL Div: 0.9326
Epoch[19/70], Step [100/105], Reconst Loss: 96.5843, KL Div: 1.0713
Epoch[20/70], Step [100/105], Reconst Loss: 92.0642, KL Div: 1.1409
Epoch[21/70], Step [100/105], Reconst Loss: 94.7851, KL Div: 1.1668
Epoch[22/70], Step [100/105], Reconst Loss: 96.2806, KL Div: 1.3744
Epoch[23/70], Step [100/105], Reconst Loss: 93.7278, KL Div: 1.3674
Epoch[24/70], Step [100/105], Reconst Loss: 95.5365, KL Div: 1.3784
Epoch[25/70], Step [100/105], Reconst Loss: 93.4434, KL Div: 1.4730
Epoch[26/70], Step [100/105], Reconst Loss: 96.3361, KL Div: 1.5511
Epoch[27/70], Step [100/105], Reconst Loss: 97.6704, KL Div: 1.7361
Epoch[28/70], Step [100/105], Reconst Loss: 93.4192, KL Div: 1.6149
Epoch[29/70], Step [100/105], Reconst Loss: 96.3014, KL Div: 1.7300
Epoch[30/70], Step [100/105], Reconst Loss: 95.0061, KL Div: 1.7459
Epoch[31/70], Step [100/105], Reconst Loss: 93.0452, KL Div: 1.7220
Epoch[32/70], Step [100/105], Reconst Loss: 94.4915, KL Div: 1.7329
Epoch[33/70], Step [100/105], Reconst Loss: 93.9939, KL Div: 1.6666
Epoch[34/70], Step [100/105], Reconst Loss: 95.3215, KL Div: 1.6797
Epoch[35/70], Step [100/105], Reconst Loss: 98.4876, KL Div: 1.8739
Epoch[36/70], Step [100/105], Reconst Loss: 92.3021, KL Div: 1.9199
Epoch[37/70], Step [100/105], Reconst Loss: 95.2333, KL Div: 1.8340
Epoch[38/70], Step [100/105], Reconst Loss: 93.2281, KL Div: 2.0447
Epoch[39/70], Step [100/105], Reconst Loss: 92.6901, KL Div: 2.0029
Epoch[40/70], Step [100/105], Reconst Loss: 89.6395, KL Div: 2.0990
Epoch[41/70], Step [100/105], Reconst Loss: 95.5535, KL Div: 2.2333
Epoch[42/70], Step [100/105], Reconst Loss: 94.7460, KL Div: 2.1751
Epoch[43/70], Step [100/105], Reconst Loss: 89.7752, KL Div: 2.0632
Epoch[44/70], Step [100/105], Reconst Loss: 93.6853, KL Div: 2.2620
Epoch[45/70], Step [100/105], Reconst Loss: 94.6185, KL Div: 2.1338
Epoch[46/70], Step [100/105], Reconst Loss: 91.9180, KL Div: 2.2947
Epoch[47/70], Step [100/105], Reconst Loss: 92.0202, KL Div: 2.2495
Epoch[48/70], Step [100/105], Reconst Loss: 89.4865, KL Div: 2.2871
Epoch[49/70], Step [100/105], Reconst Loss: 93.1959, KL Div: 2.4834
Epoch[50/70], Step [100/105], Reconst Loss: 93.8546, KL Div: 2.5817
Epoch[51/70], Step [100/105], Reconst Loss: 93.7269, KL Div: 2.5466
Epoch[52/70], Step [100/105], Reconst Loss: 93.5097, KL Div: 2.5952
Epoch[53/70], Step [100/105], Reconst Loss: 89.7800, KL Div: 2.6262
Epoch[54/70], Step [100/105], Reconst Loss: 89.0041, KL Div: 2.8543
Epoch[55/70], Step [100/105], Reconst Loss: 88.8601, KL Div: 2.7913
Epoch[56/70], Step [100/105], Reconst Loss: 89.0640, KL Div: 2.8693
Epoch[57/70], Step [100/105], Reconst Loss: 91.7558, KL Div: 2.9540
Epoch[58/70], Step [100/105], Reconst Loss: 89.5402, KL Div: 2.9356
Epoch[59/70], Step [100/105], Reconst Loss: 93.9665, KL Div: 3.0948
Epoch[60/70], Step [100/105], Reconst Loss: 90.3008, KL Div: 2.9502
Epoch[61/70], Step [100/105], Reconst Loss: 89.1495, KL Div: 3.0765
Epoch[62/70], Step [100/105], Reconst Loss: 88.7824, KL Div: 3.2572
Epoch[63/70], Step [100/105], Reconst Loss: 94.3053, KL Div: 3.3734
Epoch[64/70], Step [100/105], Reconst Loss: 87.7997, KL Div: 3.2686
Epoch[65/70], Step [100/105], Reconst Loss: 86.7797, KL Div: 3.4091
Epoch[66/70], Step [100/105], Reconst Loss: 90.3829, KL Div: 3.3969
Epoch[67/70], Step [100/105], Reconst Loss: 88.8110, KL Div: 3.3086
Epoch[68/70], Step [100/105], Reconst Loss: 89.3595, KL Div: 3.4958
Epoch[69/70], Step [100/105], Reconst Loss: 89.4250, KL Div: 3.4738
Epoch[70/70], Step [100/105], Reconst Loss: 90.0865, KL Div: 3.7287
============================================================

Topics:
